place,lon,lat,admin_area,country
Cologne,6.9602786,50.937531,North Rhine-Westphalia,Germany
Ghent,3.7174243,51.0543422,Flanders,Belgium
Frankfurt,8.6821267,50.1109221,Hesse,Germany
Lier,4.5715092,51.1302138,Flanders,Belgium
Duisburg,6.762329299999999,51.4344079,North Rhine-Westphalia,Germany
Haarlem,4.6462194,52.3873878,North Holland,Netherlands
Antwerp,4.4024643,51.2194475,Flanders,Belgium
Middelburg,3.610998,51.4987962,Zeeland,Netherlands
Dordrecht,4.6900929,51.81329789999999,South Holland,Netherlands
Venice,12.3155151,45.4408474,Veneto,Italy
Lisse,4.5574834,52.25793030000001,South Holland,Netherlands
Het Vlie,5.183333,53.3,NA,Netherlands
Hamburg,9.9936818,53.5510846,Hamburg,Germany
Emden,7.2060095,53.35940290000001,Lower Saxony,Germany
Amsterdam,4.895167900000001,52.3702157,North Holland,Netherlands
Bremen,8.8016937,53.07929619999999,Bremen,Germany
The Hague,4.3006999,52.0704978,South Holland,Netherlands
London,-0.1277583,51.5073509,England,United Kingdom
Leiden,4.4970097000000004,52.1601144,South Holland,Netherlands
Marburg,8.7667933,50.8021728,Hesse,Germany
Delft,4.3570677,52.01157689999999,South Holland,Netherlands
Vlissingen,3.5709125,51.4536672,Zeeland,Netherlands
Stade,9.4709494,53.59286179999999,Lower Saxony,Germany
Lille,3.057256,50.62925,Hauts-de-France,France
Caen,-0.370679,49.182863,Normandy,France
Helmstedt Brunswick,11.0222438,52.2331593,Niedersachsen,Germany
Nuremberg,11.0796553,49.4254092,Bavaria,Germany
Dieppe,1.077483,49.922992,Normandy,France
Halberstadt,11.0496159,51.89487090000001,Saxony-Anhalt,Germany
Naples,14.2681244,40.8517746,Campania,Italy
Wesel,6.6295679,51.6643079,North Rhine-Westphalia,Germany
Newbury,-1.3231139,51.401409,England,United Kingdom
Verona,10.9916215,45.43838419999999,Veneto,Italy
Vicenza,11.5354214,45.5454787,Veneto,Italy
Bergen op Zoom,4.2871622,51.49457580000001,North Brabant,Netherlands
Brunswick,10.5267696,52.2688736,Lower Saxony,Germany
Utrecht,5.1214201,52.09073739999999,Utrecht,Netherlands
